title,world_revenue,distributor
Holy Hell,"$34,366 ",Indican Pictures
Maui,"$33,953 ",GathrFilms
Le Corbeau,"$36,089 ",Rialto Pictures
Galapagos,"$29,349,172 ",IMAX
24 Frames,"$37,045 ",Janus Films
The Road Movie,"$35,757 ",Oscilloscope
The Other Side of Hope,"$4,282,973 ",Janus Films
Mind Game,"$36,613 ",GKIDS
The House of Tomorrow,"$35,821 ",Shout! Factory
"Hale County This Morning, This Evening","$112,282 ",The Cinema Guild
Gray Matter,"$38,034 ",Indican Pictures
Searching for Ingmar Bergman,"$64,742 ",Oscilloscope
Space Station 3D,"$128,361,719 ",IMAX
Small Group,"$37,058 ",GathrFilms
Breath,"$3,322,479 ",FilmRise
Mamma Mia!,"$55,168 ",Fathom Events
Girls vs Gangsters,"$10,265,819 ",Well Go USA Entertainment
The Heart of Nuba,"$37,788 ",Abramorama
Western,"$155,215 ",The Cinema Guild
Krystal,"$37,516 ",Paladin
Oolong Courtyard: KungFu School,"$19,129,015 ",China Lion Film Distribution
Golden Exits,"$41,888 ",Vertical Entertainment
Araby,"$38,399 ",Grasshopper Film
Submission,"$39,985 ",Great Point Media
First We Take Brooklyn,"$42,812 ",Zealous Productions
The Sacrifice,"$61,018 ",Kino Lorber
Rodin,"$172,619 ",Cohen Media Group
A Ciambra,"$104,808 ",IFC Films
Humor Me,"$40,099 ",Shout! Factory
350 Days - Legends. Champions. Survivors,"$47,526 ",Fathom Events
Bigger,"$52,133 ",Freestyle Releasing
Indian Horse,"$2,097,362 ",Elevation Pictures
Hitler's Hollywood,"$43,766 ",Kino Lorber
What Will People Say,"$2,191,131 ",Kino Lorber
Garry Winogrand: All Things are Photographable,"$44,002 ",Greenwich Entertainment
Antonio Lopez 1970: Sex Fashion & Disco,"$73,122 ",Film Movement
Before We Vanish,"$448,829 ",Super
Digimon Adventure tri. Part 5: Coexistence,"$382,119 ",Fathom Events
Summer in the Forest,"$67,743 ",Abramorama
Wait for Your Laugh,"$73,585 ",Vitagraph Films
Racer and the Jailbird,"$400,026 ",Super
Digimon Adventure tri. Part 6: Future,"$54,324 ",Fathom Events
The Great Silence,"$53,074 ",Film Movement
DAZN Boxing: Canelo Alvarez vs. Rocky Fielding,"$54,916 ",Fathom Events
Django,"$3,876,874 ",Under The Milky Way
The China Hustle,"$48,650 ",Magnolia Pictures
Hal,"$49,045 ",Oscilloscope
Black '47,"$2,073,063 ",IFC Films
American Dream: Detroit,"$55,092 ",Fathom Events
Twiceland,"$186,078 ",CJ Entertainment
Woman Walks Ahead,"$80,912 ",A24
In Search of Greatness,"$58,090 ",Art of Sport
My Friend Dahmer,"$1,436,751 ",FilmRise
Cynthia,"$58,177 ",Indican Pictures
A Kid Like Jake,"$60,784 ",IFC Films
Digimon Adventure tri. Part 4: Loss,"$59,114 ",Fathom Events
Ramen Heads,"$57,345 ",FilmBuff
"Monrovia, Indiana","$64,596 ",Zipporah Films
Viper Club,"$60,607 ",Roadside Attractions
Bhavesh Joshi Superhero,"$81,792 ",Eros International
Never Goin' Back,"$61,271 ",A24
Walk With Me,"$1,606,705 ",GathrFilms
"Westwood: Punk, Icon, Activist","$386,856 ",Greenwich Entertainment
Beuys,"$86,451 ",Kino Lorber
Making the Five Heartbeats,"$67,415 ",Fathom Events
Bomb City,"$59,329 ",Gravitas Ventures
The Gardener,"$62,734 ",Gravitas Ventures
Where Is Kyra?,"$59,717 ",Great Point Media
Where Hands Touch,"$128,269 ",Vertical Entertainment
Outside In,"$68,492 ",The Orchard
The House That Jack Built,"$2,268,855 ",IFC Films
Liz and the Blue Bird,"$726,454 ",Eleven Arts
The Doctor from India,"$67,136 ",Zeitgeist Films
Parchi,"$77,110 ",Atlas Distribution Company
Feng Shui,"$15,702,302 ",CJ Entertainment
"3100, Run and Become","$65,524 ",Illumine Films
Chef Flynn,"$69,542 ",Kino Lorber
Wastelander,"$70,045 ",Indican Pictures
Under the Tree,"$944,991 ",Magnolia Pictures
The Fog,"$70,421 ",Rialto Pictures
Namiya,"$35,351,623 ",China Lion Film Distribution
The Last Suit,"$608,209 ",Outsider Films
Tom of Finland,"$1,776,931 ",Kino Lorber
Bye Bye Germany,"$176,933 ",Film Movement
Tehran Taboo,"$349,886 ",Kino Lorber
Above and Beyond: NASA's Journey to Tomorrow,"$74,711 ",Fathom Events
