title,world_revenue,distributor
Unrest,"$40,081 ",Independent
The Settlers,"$41,562 ",Matson Films
Seasons,"$11,425,100 ",Music Box Films
I Am the Blues,"$37,849 ",Film Movement
The Death of Louis XIV,"$209,715 ",The Cinema Guild
Just One Drop,"$60,078 ",GathrFilms
Friendsgiving Day #2,"$198,869 ",Fathom Events
Bluebeard,"$8,855,737 ",Well Go USA Entertainment
"Léon Morin, Priest","$44,511 ",Rialto Pictures
A Beautiful Planet,"$25,681,505 ",IMAX
Blink of an Eye,"$201,874 ",Fathom Events
Forrest Gump,"$203,088 ",Fathom Events
Venom,"$856,085,151 ",Sony Pictures Releasing
Bolshoi Ballet: Carmen Suite/Petrushka,"$510,628 ",Fathom Events
Play the Flute,"$226,554 ",Five & Two Pictures
Chasing the Dragon II: Wild Wild Bunch,"$45,733,356 ",Well Go USA Entertainment
Family,"$194,601 ",The Film Arcade
Hamlet,"$214,578 ",Fathom Events
The Possession of Hannah Grace,"$43,016,528 ",Screen Gems
"Faith, Hope & Love","$210,091 ",ArtAffects Entertainment
The Iron Orchard,"$204,881 ",Santa Rita Film Co
Dabangg 3,"$14,784,628 ",Yash Raj Films
Hesburgh,"$204,709 ",Music Box Films
Never Surrender: A Galaxy Quest Documentary,"$222,971 ",Fathom Events
Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,"$223,858 ",Fathom Events
Kathy Griffin: A Hell of a Story,"$208,907 ",Fathom Events
Master Z: The Ip Man Legacy,"$21,832,649 ",Well Go USA Entertainment
Fahrenheit 11/9,"$6,674,168 ",Briarcliff Entertainment
A-X-L,"$8,467,697 ",Global Road Entertainment
Unbroken: Path to Redemption,"$6,216,897 ",Pure Flix Entertainment
The Karate Kid,"$215,447 ",Fathom Events
Hotel Artemis,"$13,313,581 ",Global Road Entertainment
First Love,"$318,385 ",Well Go USA Entertainment
Boy Erased,"$11,853,081 ",Focus Features
"The Gangster, the Cop, the Devil","$25,775,371 ",Well Go USA Entertainment
Downsizing,"$55,003,890 ",Paramount Pictures
Mine 9,"$226,421 ",Emphatic Cinema/Levey
Dog Days,"$6,819,044 ",LD Entertainment
Mid90s,"$9,303,022 ",A24
Can You Ever Forgive Me?,"$12,442,161 ",Fox Searchlight Pictures
Unsane,"$14,293,601 ",Bleecker Street Media
Sanju,"$76,693,052 ",FIP
Beautiful Boy,"$16,636,604 ",Amazon Studios
They Shall Not Grow Old,"$19,130,011 ",Warner Bros.
Welcome to Marwen,"$13,061,491 ",Universal Pictures
Unfriended: Dark Web,"$16,024,987 ",BH Tilt
Tully,"$15,636,462 ",Focus Features
Under the Sea 3D,"$55,886,237 ",Warner Bros.
Traffik,"$9,515,914 ",Lionsgate
Midnight Sun,"$27,365,467 ",Global Road Entertainment
Panique,"$46,041 ",Rialto Pictures
The Death of Stalin,"$24,646,055 ",IFC Films
Saving Banksy,"$47,965 ",Parade Deck Films
The Wife,"$19,978,189 ",Sony Pictures Classics
Tampopo,"$224,097 ",Janus Films
Napping Princess,"$1,156,847 ",GKIDS
Early Man,"$54,622,814 ",Lionsgate
The Force,"$59,912 ",Kino Lorber
My Journey Through French Cinema,"$71,174 ",Cohen Media Group
The Paris Opera,"$781,039 ",Film Movement
Twenty Two,"$55,001 ",China Lion Film Distribution
DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,"$230,703 ",Fathom Events
So B. It,"$47,627 ",Good Deed Entertainment
From the Land of the Moon,"$6,524,799 ",IFC Films
Extraordinary Mission,"$22,757,764 ",Crimson Forest
Person to Person,"$48,499 ",Magnolia Pictures
The Ornithologist,"$74,714 ",Strand Releasing
Tickling Giants,"$51,499 ",Sarkasmos Productions LLC
I Called Him Morgan,"$128,986 ",Submarine Deluxe
American Woman,"$245,416 ",Roadside Attractions
Beautiful Accident,"$2,632,092 ",China Lion Film Distribution
Doctor Who: The End of Time: Part One,"$247,798 ",Fathom Events
Friendsgiving Day #1,"$246,168 ",Fathom Events
Premier Boxing Champions: PBC on FOX: Spence vs. Porter,"$232,973 ",Fathom Events
Canal Street,"$251,917 ",Smith Global Media
The Twilight Zone: A 60th Anniversary Celebration,"$248,514 ",Fathom Events
Romeo Akbar Walter,"$688,719 ",Eros International
Give Me Liberty,"$624,152 ",Music Box Films
Meeting Gorbachev,"$318,996 ",1091 Media
When Harry Met Sally...,"$252,320 ",Fathom Events
God of War,"$9,559,524 ",Well Go USA Entertainment
Bolshoi Ballet: The Nutcracker,"$1,049,798 ",Fathom Events
311 Enlarged to Show Detail 3,"$238,791 ",Trafalgar Releasing
63 Up,"$428,408 ",BritBox
Mobile Suit Gundam Narrative,"$6,126,259 ",Fathom Events
Mary Queen of Scots,"$46,710,283 ",Focus Features
The Miracle Season,"$10,230,620 ",Mirror/LD Entertainment
I Got the Hook Up 2,"$252,293 ",Urban Movie Channel
Padmaavat,"$22,991,060 ",Viva Pictures Distribution
The Old Man & the Gun,"$17,860,397 ",Fox Searchlight Pictures
Upgrade,"$16,593,554 ",BH Tilt
Hell Fest,"$18,159,691 ",Lionsgate
Lords of Chaos,"$365,353 ",Gunpowder & Sky
Wonder,"$305,937,718 ",Lionsgate
Three Identical Strangers,"$13,448,497 ",Neon
Free Solo,"$29,318,861 ",National Geographic Entertainment
Her Smell,"$260,481 ",Gunpowder & Sky
Call Me by Your Name,"$41,887,595 ",Sony Pictures Classics
All the Money in the World,"$56,996,304 ",TriStar Pictures
The Darkest Minds,"$41,142,379 ",Twentieth Century Fox
RBG,"$14,441,292 ",Magnolia Pictures
The Possession of Hannah Grace,"$43,016,528 ",Screen Gems
Eighth Grade,"$14,347,433 ",A24
The Girl in the Spider's Web,"$35,164,920 ",Sony Pictures Releasing
Happy End,"$2,610,794 ",Sony Pictures Classics
Tomorrow,"$11,277,905 ",Under The Milky Way
Worlds Apart,"$5,011,560 ",Cinema Libre Studio
The Boom,"$57,962 ",Rialto Pictures
Donald Cried,"$61,406 ",The Orchard
The Teacher,"$1,350,426 ",Film Movement
Fire at Sea,"$1,178,377 ",Kino Lorber
The Brand New Testament,"$15,709,652 ",Music Box Films
Star Raiders: The Adventures of Saber Raine,"$260,234 ",Fathom Events
Manolo: the Boy Who Made Shoes for Lizards,"$64,889 ",Music Box Films
Bang! The Bert Berns Story,"$59,299 ",Abramorama
My Entire High School Sinking Into the Sea,"$68,883 ",GKIDS
Tragedy Girls,"$122,211 ",Gunpowder & Sky
Modest Heroes,"$178,027 ",Fathom Events
Smallfoot,"$214,040,103 ",Warner Bros.
The Tiger Hunter,"$62,398 ",Shout! Factory
Out of Liberty,"$265,279 ",Purdie Distribution
The Love Witch,"$246,218 ",Oscilloscope
Luzia: Cirque du Soleil in Cinema,"$265,673 ",Fathom Events
Architects of Denial,"$65,424 ",Dada Films
Alive and Kicking,"$68,485 ",Magnolia Pictures
To the Arctic 3D,"$23,692,624 ",Warner Bros.
Just Mercy,"$41,884,087 ",Warner Bros.
One Child Nation,"$271,841 ",Amazon Studios
Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,"$338,632 ",Fathom Events
The Tale of The Princess Kaguya,"$271,681 ",Fathom Events
True Grit,"$276,418 ",Fathom Events
I Want to Eat Your Pancreas,"$33,748,006 ",Fathom Events
The Nutcracker and the Four Realms,"$173,961,069 ",Walt Disney Studios Motion Pictures
Octaman,"$280,710 ",Fathom Events
The Whistleblower,"$7,505,141 ",CMC Pictures Holdings
Slayer: The Repentless Killogy,"$272,874 ",Trafalgar Releasing
The Godfather: Part II,"$291,754 ",Fathom Events
Saga of Tanya the Evil - The Movie,"$288,460 ",Fathom Events
Freaks,"$335,050 ",Well Go USA Entertainment
Shakira in Concert: El Dorado World Tour,"$294,677 ",Trafalgar Releasing
The Bravest,"$245,179,562 ",Sony Pictures Releasing
Khalid: Free Spirit,"$284,229 ",Trafalgar Releasing
Mike Wallace Is Here,"$281,245 ",Magnolia Pictures
Hunter Killer,"$31,672,678 ",Lionsgate
Mortal Engines,"$83,672,673 ",Universal Pictures
Forever My Girl,"$16,376,066 ",Roadside Attractions
Sorry to Bother You,"$18,170,707 ",Annapurna Pictures
Stockholm,"$692,514 ",Smith Global Media
Killerman,"$614,366 ",Blue Fox Entertainment
The Favourite,"$95,918,706 ",Fox Searchlight Pictures
Chappaquiddick,"$18,263,470 ",Entertainment Studios Motion Pictures
"Paul, Apostle of Christ","$25,915,966 ",Affirm Films
Lady Bird,"$78,965,611 ",A24
SuperFly,"$20,780,685 ",Sony Pictures Releasing
Operation Finale,"$17,612,099 ",Metro-Goldwyn-Mayer (MGM)
Phantom Thread,"$47,756,590 ",Focus Features
Bad Times at the El Royale,"$31,882,724 ",Twentieth Century Fox
Show Dogs,"$39,156,854 ",Global Road Entertainment
Vice,"$76,073,488 ",Annapurna Pictures
Bad Santa 2,"$24,079,268 ",Broad Green Pictures
The Happytime Murders,"$27,506,452 ",STX Entertainment
Proud Mary,"$21,753,365 ",Screen Gems
Holmes & Watson,"$40,466,970 ",Sony Pictures Releasing
Overlord,"$41,657,844 ",Paramount Pictures
Turn It Around: The Story of East Bay Punk,"$69,787 ",Abramorama
The Wasted Times,"$18,345,372 ",China Lion Film Distribution
Ocean Waves,"$87,738 ",GKIDS
The Nile Hilton Incident,"$3,979,536 ",Strand Releasing
Earth: One Amazing Day,"$12,851,540 ",BBC Worldwide North America
Te Ata,"$73,236 ",Paladin
Buster's Mal Heart,"$73,121 ",Well Go USA Entertainment
Millennium Actress,"$225,250 ",Fathom Events
Photograph,"$1,019,196 ",Amazon Studios
Warriors of the Dawn,"$5,497,176 ",FIP
Diane,"$336,166 ",IFC Films
Pop Aye,"$204,464 ",Kino Lorber
Hostiles,"$35,669,017 ",Entertainment Studios Motion Pictures
Stefan Zweig: Farewell to Europe,"$683,063 ",First Run
Harold and Lillian: A Hollywood Love Story,"$78,301 ",Zeitgeist Films
Won't You Be My Neighbor?,"$22,842,400 ",Focus Features
Second Act,"$72,282,227 ",STX Entertainment
Molly's Game,"$59,284,015 ",STX Entertainment
Chapter & Verse,"$84,147 ",Paladin
White Boy Rick,"$25,957,482 ",Studio 8
Winchester,"$44,019,588 ",Lionsgate
The Strangers: Prey at Night,"$31,039,126 ",Aviron Pictures
Searching,"$75,462,037 ",Screen Gems
"I, Tonya","$53,939,297 ",Neon
The Hate U Give,"$34,934,009 ",Twentieth Century Fox
Teen Titans GO! to the Movies,"$52,090,236 ",Warner Bros.
Coco,"$807,082,196 ",Walt Disney Studios Motion Pictures
Hostiles,"$35,669,017 ",Entertainment Studios Motion Pictures
Because of Grácia,"$90,878 ",ArtAffects Entertainment
Dina,"$96,524 ",The Orchard
The Fencer,"$599,537 ",CFI Releasing
BPM (Beats Per Minute),"$7,704,369 ",The Orchard
Sully,"$240,797,623 ",Warner Bros.
Keep Watching,"$94,178 ",Screen Gems
Poster Boys,"$2,602,256 ",Sony Pictures Releasing
"Tim Timmerman, Hope of America","$97,727 ",Purdie Distribution
Some Like It Hot,"$95,721,320 ",China Lion Film Distribution
Night of the Living Dead,"$89,029 ",Janus Films
The Lure,"$108,846 ",Janus Films
Star Trek: The Motion Picture,"$346,243 ",Fathom Events
Score: A Film Music Documentary,"$178,090 ",Gravitas Ventures
The King's Case Note,"$11,383,493 ",CJ Entertainment
The Shawshank Redemption,"$358,507 ",Fathom Events
Memoir of a Murderer,"$19,015,346 ",Well Go USA Entertainment
The Tomorrow Man,"$354,103 ",Bleecker Street Media
Matthias & Maxime,"$1,639,799 ",Entertainment One
Ghostbusters,"$369,612 ",Fathom Events
The Hummingbird Project,"$899,037 ",The Orchard
Munna Michael,"$189,105 ",Eros International
The Mayor,"$9,476,194 ",Well Go USA Entertainment
The Secret World of Arrietty,"$384,289 ",Fathom Events
The Cure: Anniversary 1978-2018 Live in Hyde Park,"$591,904 ",Trafalgar Releasing
The Wedding Guest,"$386,166 ",IFC Films
The Man Who Killed Don Quixote,"$2,390,383 ",Screen Media Films
Mia and the White Lion,"$36,069,916 ",Ledafilms Entertainment Group
What We Left Behind: Star Trek DS9,"$434,437 ",Fathom Events
The Nightingale,"$839,660 ",IFC Films
Adrift,"$59,945,012 ",STX Entertainment
Robin Hood,"$86,489,031 ",Lionsgate
Nobody's Fool,"$33,705,333 ",Paramount Pictures
Slender Man,"$51,738,549 ",Screen Gems
Super Troopers 2,"$31,626,386 ",Twentieth Century Fox
Ferdinand,"$296,069,199 ",Twentieth Century Fox
Isle of Dogs,"$64,241,499 ",Fox Searchlight Pictures
Annihilation,"$43,070,915 ",Paramount Pictures
The Bolshoi Ballet: Live From Moscow - A Hero of Our Time,"$135,168 ",Fathom Events
Green Book,"$329,704,599 ",Universal Pictures
SEED: The Untold Story,"$209,580 ","Collective Eye, Inc."
Slack Bay,"$4,734,494 ",Kino Lorber
"We Love You, Sally Carmichael!","$113,435 ",Purdie Distribution
"Hello, Dolly!","$400,881 ",Fathom Events
Meet Me in St. Louis,"$403,521 ",Fathom Events
The Thousand Faces of Dunjia,"$46,263,237 ",Well Go USA Entertainment
Walking Out,"$162,445 ",IFC Films
Like Crazy,"$9,029,150 ",Strand Releasing
Fabricated City,"$18,307,490 ",CJ Entertainment
Big Sonia,"$212,471 ",Argot Pictures
The King's Choice,"$10,017,316 ",The Samuel Goldwyn Company
The Trouble with Terkel,"$110,289 ",Indican Pictures
Reset,"$29,945,245 ",Well Go USA Entertainment
The Reliant,"$408,747 ",Fathom Events
Monos,"$1,336,593 ",Neon
Abacus: Small Enough to Jail,"$113,278 ",PBS Distribution
The Cold Blue,"$420,177 ",Fathom Events
The Invisibles,"$764,250 ",Greenwich Entertainment
De De Pyaar De,"$1,473,116 ",Yash Raj Films
Our Time Will Come,"$9,484,714 ",China Lion Film Distribution
Ash Is Purest White,"$11,813,509 ",Cohen Media Group
Fate/stay night [Heaven's Feel] II. lost butterfly,"$17,295,864 ",Fathom Events
Killing Sarai,"$425,332 ",Pantelion Films
Ben-Hur,"$422,622 ",Fathom Events
Merci pour tout,"$1,063,026 ",eOne Entertainment
The Spy Who Dumped Me,"$75,320,680 ",Lionsgate
Peppermint,"$53,918,723 ",STX Entertainment
The 15:17 to Paris,"$57,076,286 ",Warner Bros.
The Commuter,"$119,942,387 ",Lionsgate
Mile 22,"$66,308,758 ",STX Entertainment
Death Wish,"$49,562,710 ",Metro-Goldwyn-Mayer (MGM)
Alpha,"$98,203,196 ",Studio 8
Les Misérables: The Staged Concert,"$5,019,488 ",Trafalgar Releasing
Hail Satan?,"$467,232 ",Magnolia Pictures
Pitch Perfect 3,"$185,400,345 ",Universal Pictures
Darkest Hour,"$150,847,207 ",Focus Features
Widows,"$75,984,700 ",Twentieth Century Fox
Blumhouse's Truth or Dare,"$95,330,493 ",Universal Pictures
"Love, Simon","$66,316,289 ",Twentieth Century Fox
Paddington 2,"$227,978,523 ",Warner Bros.
Uncle Drew,"$46,664,414 ",Lionsgate
City of Ghosts,"$228,225 ",IFC Films
Moka,"$1,493,067 ",Film Movement
Inferno,"$220,021,259 ",Sony Pictures Releasing
The B-Side: Elsa Dorfman's Portrait Photography,"$125,227 ",Neon
Things to Come,"$5,638,693 ",IFC Films
Dawson City: Frozen Time,"$132,369 ",Kino Lorber
The Handmaiden,"$37,692,886 ",Magnolia Pictures
The Other Side of Hope,"$4,282,973 ",Janus Films
Thelma,"$1,463,727 ",The Orchard
The Ex-File 3: The Return of The Exes,"$307,592,427 ",China Lion Film Distribution
Marie Curie: The Courage of Knowledge,"$1,867,736 ",Society Films
Buena Vista Social Club: Adios,"$701,575 ",Broad Green Pictures
Explosion,"$7,731,410 ",China Lion Film Distribution
Irving Berlin's Holiday Inn The Broadway Musical,"$144,550 ",Fathom Events
The Last Dalai Lama?,"$145,524 ",Matson Films
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It","$133,006 ",Abramorama
Lupin the 3rd: Castle of Cagliostro,"$151,802 ",Eleven Arts
At Eternity's Gate,"$11,261,585 ",CBS Films
Jack Reacher: Never Go Back,"$162,146,076 ",Paramount Pictures
Teen Spirit,"$1,573,601 ",Bleecker Street Media
A Man Called Ove,"$30,691,696 ",Music Box Films
Restless Creature: Wendy Whelan,"$147,780 ",Abramorama
Cruel Intentions,"$445,218 ",Sony Pictures Releasing
Christmas Jars,"$459,462 ",Fathom Events
Panipat,"$3,349,899 ",Reliance Entertainment
Lawrence of Arabia,"$482,281 ",Fathom Events
The Void,"$368,372 ",Screen Media Films
The Unknown Girl,"$2,432,640 ",IFC Films
Blade of the Immortal,"$7,162,617 ",Magnolia Pictures
Batla House,"$1,264,337 ",Viva Pictures Distribution
CatVideoFest,"$536,566 ",Oscilloscope
Gorillaz: Reject False Icons,"$475,465 ",Trafalgar Releasing
Tyler Perry's Acrimony,"$46,403,669 ",Lionsgate
Den of Thieves,"$80,509,622 ",STX Entertainment
Sherlock Gnomes,"$90,497,778 ",Paramount Pictures
First Man,"$105,697,415 ",Universal Pictures
Hereditary,"$80,239,658 ",A24
Exit,"$69,501,772 ",CJ Entertainment
12 Strong,"$67,450,815 ",Warner Bros.
The Climbers,"$156,759,167 ",Well Go USA Entertainment
Goosebumps 2: Haunted Halloween,"$93,320,380 ",Sony Pictures Releasing
The Russian Five,"$485,049 ",Lucky Hat Entertainment
Breaking In,"$51,411,620 ",Universal Pictures
Red Sparrow,"$151,572,634 ",Twentieth Century Fox
BlacKkKlansman,"$93,400,823 ",Focus Features
I Feel Pretty,"$94,539,426 ",STX Entertainment
The Shape of Water,"$195,333,312 ",Fox Searchlight Pictures
Sicario: Day of the Soldado,"$75,837,743 ",Sony Pictures Releasing
Overboard,"$91,244,913 ",Pantelion Films
The Nutcracker and the Four Realms,"$173,961,069 ",Walt Disney Studios Motion Pictures
The Predator,"$160,542,134 ",Twentieth Century Fox
Life of the Party,"$65,859,911 ",Warner Bros.
A Simple Favor,"$97,644,617 ",Lionsgate
Maze Runner: The Death Cure,"$288,175,335 ",Twentieth Century Fox
Tag,"$78,130,625 ",Warner Bros.
Bombshell: The Hedy Lamarr Story,"$1,092,277 ",Zeitgeist Films
Tomb Raider,"$274,650,803 ",Warner Bros.
3 Generations,"$680,351 ",The Weinstein Company
"Polina, danser sa vie","$996,425 ",Oscilloscope
Nausicaä of the Valley of the Wind,"$495,770 ",Fathom Events
Valley of Bones,"$168,738 ",Smith Global Media
11-Sep,"$200,229 ",Atlas Distribution Company
Whisper of the Heart,"$498,156 ",Fathom Events
Widows,"$75,984,700 ",Twentieth Century Fox
13 Minutes,"$395,557 ",Sony Pictures Classics
Crazy Rich Asians,"$238,532,921 ",Warner Bros.
Tel Aviv on Fire,"$1,548,893 ",Cohen Media Group
Endless Poetry,"$554,706 ",ABKCO Films
Manifesto,"$416,389 ",FilmRise
The Journey,"$482,209 ",IFC Films
Birds of Passage,"$2,517,349 ",The Orchard
Saving Private Ryan,"$508,694 ",Fathom Events
Wild Nights with Emily,"$519,487 ",Greenwich Entertainment
David Lynch: The Art Life,"$311,470 ",Janus Films
Pacific Rim: Uprising,"$290,930,148 ",Universal Pictures
Blockers,"$94,017,294 ",Universal Pictures
The Mule,"$174,804,407 ",Warner Bros.
Instant Family,"$120,556,201 ",Paramount Pictures
Skyscraper,"$304,868,961 ",Universal Pictures
Insidious: The Last Key,"$167,885,588 ",Universal Pictures
Book Club,"$104,438,188 ",Paramount Pictures
The House with a Clock in Its Walls,"$131,457,147 ",Universal Pictures
The First Purge,"$137,056,262 ",Universal Pictures
Bumblebee,"$467,989,645 ",Paramount Pictures
Game Night,"$117,679,066 ",Warner Bros.
The Spy Behind Home Plate,"$519,525 ",Ciesla Foundation
Night School,"$103,105,878 ",Universal Pictures
Long Day's Journey Into Night,"$42,140,994 ",Kino Lorber
In This Corner of the World,"$19,496,308 ",FUNimation Entertainment
Smallfoot,"$214,040,103 ",Warner Bros.
The Post,"$179,769,457 ",Twentieth Century Fox
Champion,"$175,232 ",ArtAffects Entertainment
Marjorie Prime,"$213,858 ",FilmRise
The Bad Batch,"$201,890 ",Neon
Whose Streets?,"$182,799 ",Magnolia Pictures
Code Geass: Lelouch of the Re;Surrection,"$8,715,612 ",FUNimation Entertainment
Almost Christmas,"$42,580,920 ",Universal Pictures
Mr. Gaga: A True Story of Love and Dance,"$665,617 ",Abramorama
Embrace: The Documentary,"$1,155,263 ",GathrFilms
"DCI 2019: Big, Loud & Live 16","$546,060 ",Fathom Events
Graduation,"$2,015,002 ",IFC Films
Past Life,"$191,678 ",Orion Pictures
Take Every Wave: The Life of Laird Hamilton,"$223,301 ",IFC Films
Everybody's Everything,"$748,539 ",Gunpowder & Sky
My Fair Lady,"$560,711 ",Fathom Events
Fiddler: A Miracle of Miracles,"$558,816 ",Roadside Attractions
La femme de mon frère,"$1,671,969 ",Entertainment One
The Fortress,"$28,645,448 ",CJ Entertainment
Grateful Dead Meet-Up 2019,"$537,153 ",Trafalgar Releasing
Shadow,"$91,708,374 ",Well Go USA Entertainment
The Public,"$641,835 ",Greenwich Entertainment
Bethany Hamilton: Unstoppable,"$590,671 ",Entertainment Studios Motion Pictures
Christopher Robin,"$197,744,377 ",Walt Disney Studios Motion Pictures
I Can Only Imagine,"$86,026,201 ",Roadside Attractions
Fifty Shades Freed,"$371,985,018 ",Universal Pictures
The Equalizer 2,"$190,400,157 ",Sony Pictures Releasing
A Wrinkle in Time,"$132,675,864 ",Walt Disney Studios Motion Pictures
Rampage,"$428,028,233 ",Warner Bros.
Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889 ",Walt Disney Studios Motion Pictures
Mary Poppins Returns,"$349,537,494 ",Walt Disney Studios Motion Pictures
Spider-Man: Into the Spider-Verse,"$375,540,831 ",Sony Pictures Releasing
Peter Rabbit,"$351,266,433 ",Sony Pictures Releasing
The Nun,"$365,550,119 ",Warner Bros.
Creed II,"$214,215,889 ",Metro-Goldwyn-Mayer (MGM)
Spark: A Space Tail,"$1,040,689 ",Open Road Films (II)
Risk,"$214,669 ",Neon
Mamma Mia! Here We Go Again,"$395,044,706 ",Universal Pictures
The Greatest Showman,"$434,993,183 ",Twentieth Century Fox
Rumble: The Indians Who Rocked The World,"$226,006 ",Kino Lorber
Ready Player One,"$582,890,172 ",Warner Bros.
Truman,"$9,027,600 ",FilmRise
The Adventurers,"$36,796,816 ",Well Go USA Entertainment
All I See Is You,"$678,150 ",Open Road Films (II)
Railroad Tigers,"$102,205,175 ",Well Go USA Entertainment
California Typewriter,"$218,563 ",Gravitas Ventures
Hubble 3D,"$74,232,453 ",Warner Bros.
Jeremiah Tower: The Last Magnificent,"$228,153 ",The Orchard
Little Shop of Horrors,"$233,865 ",Fathom Events
1945,"$1,240,663 ",Menemsha Films
American Satan,"$237,708 ",Sumerian Films
Crown Heights,"$238,558 ",IFC Films
The Swindlers,"$29,721,916 ",Well Go USA Entertainment
The Breadwinner,"$363,307 ",GKIDS
Donnie Darko,"$212,034 ",Arrow Films
The Prison,"$21,205,329 ",Well Go USA Entertainment
To Kill a Mockingbird,"$592,237 ",Fathom Events
The Least of These: The Graham Staines Story,"$695,164 ",Fathom Events
The White Storm 2: Drug Lords,"$189,396,380 ",CMC Pictures
The Muppet Movie,"$610,475 ",Fathom Events
The Ottoman Lieutenant,"$413,844 ",Paladin
Dirty Dancing,"$622,968 ",Fathom Events
The Meg,"$530,243,742 ",Warner Bros.
Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901 ",Warner Bros.
Ocean's Eight,"$297,718,711 ",Warner Bros.
The Chaperone,"$1,541,223 ",PBS Distribution
Furie,"$5,717,640 ",Well Go USA Entertainment
Crazy Rich Asians,"$238,532,921 ",Warner Bros.
Hotel Transylvania 3: Summer Vacation,"$528,583,774 ",Sony Pictures Releasing
Miles Davis: Birth of the Cool,"$984,499 ",Abramorama
Ralph Breaks the Internet,"$529,323,962 ",Walt Disney Studios Motion Pictures
Halloween,"$255,485,178 ",Universal Pictures
A Quiet Place,"$340,939,361 ",Paramount Pictures
Aquaman,"$1,148,461,807 ",Warner Bros.
Bohemian Rhapsody,"$903,655,259 ",Twentieth Century Fox
Black Butler: Book of the Atlantic,"$511,132 ",FUNimation Entertainment
Venom,"$856,085,151 ",Sony Pictures Releasing
Roger Waters - Us + Them,"$1,294,480 ",Trafalgar Releasing
Solo: A Star Wars Story,"$392,924,807 ",Walt Disney Studios Motion Pictures
A Star Is Born,"$436,188,866 ",Warner Bros.
Dean,"$254,536 ",CBS Films
Cezanne et Moi,"$4,529,583 ",Magnolia Pictures
Gook,"$251,541 ",The Samuel Goldwyn Company
Wakefield,"$798,214 ",IFC Films
Storks,"$183,388,953 ",Warner Bros.
Stalker,"$269,881 ",Janus Films
The Sky Is Pink,"$1,088,641 ",PackYourBag Films
Band Aid,"$248,370 ",IFC Films
Non-Fiction,"$3,618,888 ",IFC Films
Sarkar 3,"$358,928 ",Eros International
"I, Daniel Blake","$15,793,051 ",IFC Films
The Game Changers,"$897,992 ",Fathom Events
Honeyland,"$811,741 ",Neon
Spirits in the Forest,"$2,531,785 ",Trafalgar Releasing
Joni 75: A Birthday Celebration,"$808,831 ",Trafalgar Releasing
Racetime,"$3,107,196 ",Entertainment One
Raise Hell: The Life & Times of Molly Ivins,"$694,410 ",Magnolia Pictures
I Love Lucy: A Colorized Celebration,"$754,323 ",Fathom Events
Patterns of Evidence: Moses Controversy,"$765,361 ",Fathom Events
The Captain,"$416,953,262 ",Well Go USA Entertainment
The Church,"$772,000 ",Indican Pictures
Where's My Roy Cohn?,"$722,603 ",Sony Pictures Classics
Student of the Year 2,"$1,635,907 ",FIP
More Than Blue,"$142,958,164 ",China Lion Film Distribution
David Crosby: Remember My Name,"$732,793 ",Sony Pictures Classics
Chonda Pierce: Unashamed,"$787,979 ",Fathom Events
One Piece: Stampede,"$81,385,498 ",FUNimation Entertainment
Ant-Man and the Wasp,"$622,674,139 ",Walt Disney Studios Motion Pictures
Mission: Impossible - Fallout,"$791,115,104 ",Paramount Pictures
Dr. Seuss' The Grinch,"$511,595,957 ",Universal Pictures
Jumanji: Welcome to the Jungle,"$962,077,546 ",Sony Pictures Releasing
I Do... Until I Don't,"$280,668 ",The Film Arcade
Deadpool 2,"$734,546,611 ",Twentieth Century Fox
Jurassic World: Fallen Kingdom,"$1,308,467,944 ",Universal Pictures
Incredibles 2,"$1,242,805,359 ",Walt Disney Studios Motion Pictures
Avengers: Infinity War,"$2,048,359,754 ",Walt Disney Studios Motion Pictures
Loving,"$12,957,265 ",Focus Features
Coincidence,"$2,520,487 ",Yash Raj Films
God's Own Country,"$2,559,939 ",Orion Pictures
Tom of Finland,"$1,776,931 ",Kino Lorber
Buddies in India,"$110,155,128 ",China Lion Film Distribution
Miss Peregrine's Home for Peculiar Children,"$296,482,446 ",Twentieth Century Fox
My Life as a Zucchini,"$5,872,598 ",GKIDS
After the Storm,"$5,382,886 ",Film Movement
A Silent Voice: The Movie,"$30,156,463 ",Eleven Arts
Chuck,"$502,518 ",IFC Films
Dunkirk,"$1,695,119 ",Warner Bros.
Citizen Jane: Battle for the City,"$323,124 ",IFC Films
Countdown to Canelo vs. Chavez Jr.,"$343,387 ",Fathom Events
Obit.,"$315,049 ",Kino Lorber
Long Strange Trip - The Untold Story of The Grateful Dead,"$351,957 ",Abramorama
City Of Rock,"$9,118,873 ",Well Go USA Entertainment
Alien,"$1,356,259 ",Fathom Events
Steel Magnolias,"$855,421 ",Fathom Events
Howl's Moving Castle,"$865,647 ",Fathom Events
Climax,"$2,027,391 ",A24
Pearl Jam: Let's Play Two,"$450,273 ",Abramorama
This Is Not What I Expected,"$30,996,615 ",Well Go USA Entertainment
Jesus Is King,"$1,082,629 ",IMAX
A Hidden Life,"$3,608,845 ",Fox Searchlight Pictures
Transit,"$982,372 ",Music Box Films
Pati Patni Aur Woh,"$6,712,525 ",Eros International
