title,budget,opening_theaters
The Angry Birds Movie 2,"$65,000,000 ","3,869"
A Dog's Way Home,"$18,000,000 ","3,090"
Harriet,"$17,000,000 ","2,059"
Silence,N/A,4
Beatriz at Dinner,N/A,5
I Am Not Your Negro,N/A,43
Let There Be Light,N/A,373
Gold,N/A,"2,166"
Jackie,N/A,5
The Space Between Us,"$30,000,000 ","2,812"
A Cure for Wellness,"$40,000,000 ","2,704"
The Promise,"$90,000,000 ","2,251"
The Lost City of Z,N/A,4
Rock Dog,N/A,"2,077"
Marshall,"$12,000,000 ",821
Thank You for Your Service,"$20,000,000 ","2,054"
The Belko Experiment,"$5,000,000 ","1,341"
Live by Night,N/A,4
The Beguiled,N/A,4
Fantastic Beasts and Where to Find Them,"$180,000,000 ","4,144"
Arrival,"$47,000,000 ","2,317"
Unforgettable,"$12,000,000 ","2,417"
Before I Fall,N/A,"2,346"
Battle of the Sexes,N/A,21
All the Money in the World,N/A,"2,074"
The Founder,N/A,"1,115"
Playing with Fire,"$29,900,000 ","3,125"
"Roman J. Israel, Esq.","$22,000,000 ",4
Rambo: Last Blood,"$50,000,000 ","3,618"
Wonder Park,N/A,"3,838"
Ad Astra,N/A,"3,460"
Five Feet Apart,N/A,"2,803"
Ma,"$5,000,000 ","2,808"
Gemini Man,"$138,000,000 ","3,642"
Isn't It Romantic,N/A,"3,444"
Green Book,"$23,000,000 ",25
What Men Want,"$20,000,000 ","2,912"
Pet Sematary,"$21,000,000 ","3,585"
The Curse of la Llorona,"$9,000,000 ","3,372"
Dora and the Lost City of Gold,"$49,000,000 ","3,735"
Bumblebee,"$135,000,000 ","3,550"
Midway,"$100,000,000 ","3,242"
A Beautiful Day in the Neighborhood,"$25,000,000 ","3,235"
Escape Room,"$9,000,000 ","2,717"
Abominable,"$75,000,000 ","4,242"
Terminator: Dark Fate,"$185,000,000 ","4,086"
X-Men: Dark Phoenix,N/A,"3,721"
Mary Poppins Returns,"$130,000,000 ","4,090"
Scary Stories to Tell in the Dark,"$25,000,000 ","3,135"
Angel Has Fallen,"$40,000,000 ","3,286"
Father Figures,N/A,"2,902"
Megan Leavey,N/A,"1,956"
Wish Upon,"$12,000,000 ","2,250"
Detroit,"$34,000,000 ",20
Flatliners,"$19,000,000 ","2,552"
Born in China,N/A,"1,508"
It Comes At Night,N/A,"2,533"
The Case for Christ,N/A,"1,174"
Moonlight,"$4,000,000 ",4
The Shape of Water,N/A,2
Downsizing,"$68,000,000 ","2,668"
Mother!,"$30,000,000 ","2,368"
The Disaster Artist,N/A,19
Darkest Hour,N/A,4
Only the Brave,"$38,000,000 ","2,577"
Assassin's Creed,"$125,000,000 ","2,970"
The Glass Castle,N/A,"1,461"
The Zookeeper's Wife,N/A,541
Baahubali 2: The Conclusion,N/A,425
The Circle,"$18,000,000 ","3,163"
CHIPS,"$25,000,000 ","2,464"
Diary of a Wimpy Kid: The Long Haul,"$22,000,000 ","3,157"
Sleepless,N/A,"1,803"
Leap!,N/A,"2,575"
Zombieland: Double Tap,"$42,000,000 ","3,468"
Yesterday,"$26,000,000 ","2,603"
Annabelle Comes Home,N/A,"3,613"
Manchester by the Sea,"$9,000,000 ",4
Men in Black: International,"$110,000,000 ","4,224"
Spider-Man: Into the Spider-Verse,N/A,"3,813"
Good Boys,"$20,000,000 ","3,204"
Alita: Battle Angel,"$170,000,000 ","3,790"
Rocketman,"$40,000,000 ","3,610"
Downton Abbey,N/A,"3,079"
The Addams Family,N/A,"4,007"
Hustlers,"$20,000,000 ","3,250"
The Lego Movie 2: The Second Part,N/A,"4,303"
Ford v Ferrari,"$97,600,000 ","3,528"
The Upside,"$37,500,000 ","3,080"
A Madea Family Funeral,N/A,"2,442"
Godzilla: King of the Monsters,"$170,000,000 ","4,108"
Glass,"$20,000,000 ","3,841"
Maleficent: Mistress of Evil,N/A,"3,790"
Dumbo,"$170,000,000 ","4,259"
Knives Out,"$40,000,000 ","3,461"
My Little Pony: The Movie,"$6,500,000 ","2,528"
Rough Night,"$20,000,000 ","3,162"
Victoria & Abdul,N/A,4
The Bye Bye Man,"$7,400,000 ","2,220"
"Three Billboards Outside Ebbing, Missouri",N/A,4
Gifted,"$7,000,000 ",56
The House,"$40,000,000 ","3,134"
Resident Evil: The Final Chapter,"$40,000,000 ","3,104"
Home Again,"$12,000,000 ","2,940"
Logan Lucky,"$29,000,000 ","3,031"
Rings,"$25,000,000 ","2,931"
The Nut Job 2: Nutty by Nature,"$40,000,000 ","4,003"
Why Him?,"$38,000,000 ","2,917"
Life,"$58,000,000 ","3,146"
The Mountain Between Us,"$35,000,000 ","3,088"
Underworld: Blood Wars,"$35,000,000 ","3,070"
Kidnap,"$21,000,000 ","2,378"
Patriots Day,"$45,000,000 ",7
How to Be a Latin Lover,N/A,"1,118"
Fist Fight,N/A,"3,185"
Monster Trucks,N/A,"3,119"
Geostorm,"$120,000,000 ","3,246"
Aquaman,N/A,"4,125"
Shazam!,"$100,000,000 ","4,217"
Fences,"$24,000,000 ",4
Lady Bird,N/A,4
John Wick: Chapter 3 - Parabellum,N/A,"3,850"
Fast & Furious Presents: Hobbs & Shaw,"$200,000,000 ","4,253"
Us,"$20,000,000 ","3,741"
Jumanji: The Next Level,"$125,000,000 ","4,227"
Once Upon a Time... in Hollywood,"$90,000,000 ","3,659"
Pokémon Detective Pikachu,"$150,000,000 ","4,202"
The Secret Life of Pets 2,"$80,000,000 ","4,561"
How to Train Your Dragon: The Hidden World,"$129,000,000 ","4,259"
It Chapter Two,N/A,"4,570"
Joker,"$55,000,000 ","4,374"
Aladdin,"$183,000,000 ","4,476"
Spider-Man: Far from Home,"$160,000,000 ","4,634"
Star Wars: Episode IX - The Rise of Skywalker,N/A,"4,406"
Captain Marvel,N/A,"4,310"
Frozen II,N/A,"4,440"
Toy Story 4,N/A,"4,575"
"Everything, Everything","$10,000,000 ","2,801"
The Foreigner,"$35,000,000 ","2,515"
American Assassin,"$33,000,000 ","3,154"
Jigsaw,"$10,000,000 ","2,941"
King Arthur: Legend of the Sword,"$175,000,000 ","3,702"
The Star,"$20,000,000 ","2,837"
The Lion King,"$260,000,000 ","4,725"
Wind River,"$11,000,000 ",4
Valerian and the City of a Thousand Planets,"$177,200,000 ","3,553"
Ghost in the Shell,"$110,000,000 ","3,440"
Moana,N/A,"3,875"
The Big Sick,N/A,5
47 Meters Down,"$5,300,000 ","2,270"
Passengers,"$110,000,000 ","3,478"
xXx: Return of Xander Cage,"$85,000,000 ","3,651"
All Eyez on Me,"$40,000,000 ","2,471"
Going in Style,"$25,000,000 ","3,061"
Smurfs: The Lost Village,"$60,000,000 ","3,610"
The Great Wall,"$150,000,000 ","3,326"
Snatched,"$42,000,000 ","3,501"
Lion,"$12,000,000 ",4
Boo 2! A Madea Halloween,"$25,000,000 ","2,388"
The Greatest Showman,"$84,000,000 ","3,006"
The Dark Tower,"$60,000,000 ","3,451"
American Made,"$50,000,000 ","3,024"
Atomic Blonde,"$30,000,000 ","3,304"
Avengers: Endgame,"$356,000,000 ","4,662"
Ferdinand,"$111,000,000 ","3,621"
Happy Death Day,"$4,800,000 ","3,149"
The Shack,N/A,"2,888"
Baywatch,"$69,000,000 ","3,647"
The Lego Ninjago Movie,N/A,"4,047"
Pitch Perfect 3,"$45,000,000 ","3,447"
A Bad Moms Christmas,"$28,000,000 ","3,615"
The Hitman's Bodyguard,"$30,000,000 ","3,377"
The Mummy,"$125,000,000 ","4,035"
Power Rangers,"$100,000,000 ","3,693"
A Dog's Purpose,"$22,000,000 ","3,059"
Captain Underpants: The First Epic Movie,"$38,000,000 ","3,434"
Alien: Covenant,"$97,000,000 ","3,761"
The Emoji Movie,"$50,000,000 ","4,075"
Daddy's Home 2,"$69,000,000 ","3,575"
Blade Runner 2049,"$150,000,000 ","4,058"
Annabelle: Creation,"$15,000,000 ","3,502"
Baby Driver,"$34,000,000 ","3,226"
John Wick: Chapter 2,N/A,"3,113"
Kingsman: The Golden Circle,"$104,000,000 ","4,003"
Murder on the Orient Express,"$55,000,000 ","3,341"
Fifty Shades Darker,"$55,000,000 ","3,710"
Transformers: The Last Knight,"$217,000,000 ","4,069"
Split,"$9,000,000 ","3,038"
War for the Planet of the Apes,"$150,000,000 ","4,022"
Cars 3,N/A,"4,256"
Hidden Figures,"$25,000,000 ",25
Kong: Skull Island,"$185,000,000 ","3,846"
Jumanji: Welcome to the Jungle,"$90,000,000 ","3,765"
Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000 ","4,276"
The Boss Baby,N/A,"3,773"
Get Out,"$4,500,000 ","2,781"
The Lego Batman Movie,"$80,000,000 ","4,088"
Coco,N/A,"3,987"
Dunkirk,"$100,000,000 ","3,720"
Justice League,N/A,"4,051"
